Twinning town/ city name,UK town/ city name,EUR town/ city name,EUR Country,EUR UA Code ,UK UA Code ,EUR_TT1060I,UK_TT1060I,EUR_SA2007I,UK_SA2007I,EUR_DE1059I,UK_DE1059I,EUR_DE1061I,UK_DE1061I,EUR_DE1057I,UK_DE1057I,EUR_DE1055I,UK_DE1055I,EUR_DE1073I,UK_DE1073I,EUR_DE1058I,UK_DE1058I,EUR_DE2001I,UK_DE2001I,EUR_TT1057V,UK_TT1057V,EUR_EC2009I,UK_EC2009I,EUR_TE2028I,UK_TE2028I,EUR_DE1064I,UK_DE1064I,EUR_DE1025I,UK_DE1025I,EUR_DE1085I,UK_DE1085I,EUR_EC2022I,UK_EC2022I,EUR_TT1057I,UK_TT1057I,EUR_DE1060I,UK_DE1060I,EUR_DE1003I,UK_DE1003I,EUR_TT1060V,UK_TT1060V,EUR_EC1174V,UK_EC1174V,EUR_SA2029I,UK_SA2029I,EUR_DE1028I,UK_DE1028I,EUR_EC1180V,UK_EC1180V,EUR_DE1076I,UK_DE1076I,EUR_DE2007I,UK_DE2007I,EUR_DE1073V,UK_DE1073V,EUR_CR1015V,UK_CR1015V,EUR_SA2018V,UK_SA2018V,EUR_SA2021V,UK_SA2021V,EUR_SA2019V,UK_SA2019V,EUR_CR1010V,UK_CR1010V,EUR_SA2020V,UK_SA2020V,EUR_SA2017V,UK_SA2017V,EUR_DE1049I,UK_DE1049I,EUR_DE2012V,UK_DE2012V,EUR_SA2007V,UK_SA2007V,EUR_EC1001V,UK_EC1001V,EUR_DE1040I,UK_DE1040I,EUR_SA2004I,UK_SA2004I,EUR_EC1003V,UK_EC1003V,EUR_EC1002V,UK_EC1002V,EUR_EC1179V,UK_EC1179V,EUR_DE1084I,UK_DE1084I,EUR_DE2009V,UK_DE2009V,EUR_DE2002V,UK_DE2002V,EUR_DE2010V,UK_DE2010V,EUR_DE1046I,UK_DE1046I,EUR_DE2008V,UK_DE2008V,EUR_SA2004V,UK_SA2004V,EUR_EC1012V,UK_EC1012V,EUR_DE2001V,UK_DE2001V,EUR_DE2003V,UK_DE2003V,EUR_DE2008I,UK_DE2008I,EUR_EC1010V,UK_EC1010V,EUR_SA1005V,UK_SA1005V,EUR_SA2013V,UK_SA2013V,EUR_SA1001V,UK_SA1001V,EUR_EC1011V,UK_EC1011V,EUR_EC1177V,UK_EC1177V,EUR_TE2031V,UK_TE2031V,EUR_EC2037V,UK_EC2037V,EUR_EN4008V,UK_EN4008V,EUR_DE2003I,UK_DE2003I,EUR_EC2020V,UK_EC2020V,EUR_DE1074V,UK_DE1074V,EUR_SA1004V,UK_SA1004V,EUR_EC1003I,UK_EC1003I,EUR_TE2031I,UK_TE2031I,EUR_EC1011I,UK_EC1011I,EUR_DE2009I,UK_DE2009I,EUR_EC2022V,UK_EC2022V,EUR_DE1060V,UK_DE1060V,EUR_DE1079V,UK_DE1079V,EUR_EC1020I,UK_EC1020I,EUR_EC2008I,UK_EC2008I,EUR_EC1012I,UK_EC1012I,EUR_EC2009V,UK_EC2009V,EUR_DE2011V,UK_DE2011V,EUR_DE1078V,UK_DE1078V,EUR_DE1047V,UK_DE1047V,EUR_EC2038V,UK_EC2038V,EUR_DE1040V,UK_DE1040V,EUR_DE1075V,UK_DE1075V,EUR_EC1001I,UK_EC1001I,EUR_EC2032V,UK_EC2032V,EUR_EC2034V,UK_EC2034V,EUR_DE1046V,UK_DE1046V,EUR_DE1061V,UK_DE1061V,EUR_DE1076V,UK_DE1076V,EUR_EC2021V,UK_EC2021V,EUR_EC1002I,UK_EC1002I,EUR_EC1176V,UK_EC1176V,EUR_EC2008V,UK_EC2008V,EUR_DE2002I,UK_DE2002I,EUR_EC2033V,UK_EC2033V,EUR_DE1049V,UK_DE1049V,EUR_DE1050V,UK_DE1050V,EUR_EC2036V,UK_EC2036V,EUR_EC1178V,UK_EC1178V,EUR_DE1042V,UK_DE1042V,EUR_EC1175V,UK_EC1175V,EUR_DE1056V,UK_DE1056V,EUR_DE1062V,UK_DE1062V,EUR_DE1077V,UK_DE1077V,EUR_DE1041V,UK_DE1041V,EUR_TE1026I,UK_TE1026I,EUR_EC2035V,UK_EC2035V,EUR_DE1058V,UK_DE1058V,EUR_DE1003V,UK_DE1003V,EUR_TE2028V,UK_TE2028V,EUR_DE1059V,UK_DE1059V,EUR_DE1048V,UK_DE1048V,EUR_DE1051V,UK_DE1051V,EUR_DE1029V,UK_DE1029V,EUR_DE1027V,UK_DE1027V,EUR_DE1026V,UK_DE1026V,EUR_DE1028V,UK_DE1028V,EUR_DE1030V,UK_DE1030V,EUR_DE1055V,UK_DE1055V,EUR_DE1066V,UK_DE1066V,EUR_DE1064V,UK_DE1064V,EUR_DE1025V,UK_DE1025V,EUR_DE1002V,UK_DE1002V,EUR_SA1013V,UK_SA1013V,EUR_SA1025V,UK_SA1025V,EUR_DE1057V,UK_DE1057V,EUR_DE1065V,UK_DE1065V,EUR_DE1001V,UK_DE1001V,EUR_SA3005V,UK_SA3005V,EUR_DE1063V,UK_DE1063V,EUR_DE3004I,UK_DE3004I,EUR_DE3017V,UK_DE3017V,EUR_EC2039V,UK_EC2039V,EUR_DE3001V,UK_DE3001V,EUR_TE1028V,UK_TE1028V,EUR_TE1027V,UK_TE1027V,EUR_TE2025V,UK_TE2025V,EUR_TE1026V,UK_TE1026V,EUR_SA1011V,UK_SA1011V,EUR_SA1050V,UK_SA1050V,EUR_SA1051V,UK_SA1051V,EUR_SA1012V,UK_SA1012V,EUR_SA2016V,UK_SA2016V
Kirklees/Besançon,Kirklees,Besançon,France,FR025C1,UK501C1,:,0.228,:,11.351,:,44,:,0.4,:,139.8,:,7.6,:,12.8,:,74.4,:,93.9,:,"180,833",:,17.4,:,49.8,:,14.1,:,11.6,:,6.3,:,4.3,:,412.9,:,30.4,:,101.8,:,10,:,"196,000",:,9.07,:,9.8,:,"29,100",:,12.5,:,5.7,:,39.4,7,8,:,266,:,"2,004",:,"3,972",:,:,:,"1,968",:,425,:,6.3,:,"25,011",:,"4,971",:,"210,400",:,6.3,:,6.437,:,"96,100",:,"114,300",:,"85,900",:,6.7,:,"48,114",:,"9,737",:,"10,578",:,5.9,:,"388,084",:,32,:,"5,300",:,"411,187",:,"15,274",:,88.6,:,"10,700",:,"24,970",:,235,:,"187,630",:,"5,400",:,"187,800",:,"81,200",:,"41,600",:,187.38,:,3.5,:,"162,116",:,"29,322",:,"139,870",:,53.5,:,36.3,:,4.7,:,11,:,"7,000",:,"28,032",:,"13,513",:,5.1,:,0.8,:,5.5,:,"28,270",:,"37,536",:,"13,944",:,"13,172",:,"5,900",:,"27,695",:,"14,884",:,59.5,:,"49,300",:,"2,000",:,"26,001",:,"54,919",:,"14,438",:,"14,520",:,65.7,:,"89,500",:,"1,250",:,2.2,:,"3,500",:,"27,639",:,"14,364",:,"19,900",:,"101,800",:,"13,477",:,"106,500",:,"13,852",:,"27,174",:,"27,457",:,"14,218",:,42,:,"3,000",:,"56,151",:,"220,905",:,"111,200",:,"28,120",:,"12,829",:,"13,276",:,"20,813",:,"25,361",:,"25,301",:,"43,100",:,"22,287",:,"33,212",:,"30,589",:,"61,782",:,"50,661",:,"217,032",:,:,:,"2,144",:,"19,360",:,"31,193",:,"437,936",:,6,:,"27,746",:,2.4,:,"436,198",:,"16,635",:,"179,655",:,"10,245",:,"7,995",:,"24,700",:,"18,245",:,:,:,"184,477.88",:,"112,425.00",:,:,:,691
Leeds/Brno,Leeds,Brno,Czech Republic,CZ002C1,UK003C1,:,0.33,:,12.588,31.9,40.4,:,0.5,168.6,142.7,:,7.1,:,15.1,66.2,66.2,:,90.9,:,"296,460",:,7.9,:,49.3,:,12.5,:,10.2,:,5.5,:,3.8,:,376.7,34.2,25.8,:,103.8,:,26,:,"386,500",:,8.793,:,8.4,:,"58,400",:,12.4,:,8.8,:,35.4,:,18,205,457,:,"3,581",:,"6,920",:,:,:,"3,339",443,704,:,10.1,:,"69,350",:,"9,907",:,"412,400",:,6.5,:,3.836,:,"197,900",:,"214,500",:,"180,000",:,6.3,:,"98,556",:,"39,944",:,"41,723",:,6.1,:,"685,905",15,38,:,"6,100",:,"715,111",:,"29,406",:,87.2,:,"13,400",:,"79,330",181,328,:,"347,100",:,"7,300",:,"375,700",:,"179,700",:,"115,200",:,317.29,:,3.7,:,"477,514","19,522","49,823",:,"245,690",:,59.8,:,45.6,:,3.4,:,12.5,:,"18,000","27,078","58,501","8,475","20,946",:,3.2,:,0.3,:,3.1,:,"37,572",:,"56,833","8,831","22,054","7,335","23,480",:,"19,800","21,844","50,782","10,016","25,470",:,64.1,:,"109,900",:,"27,000","14,507","47,894","63,918","97,208","9,506","24,353",:,"28,390",:,68.6,:,"185,500",:,"1,250",:,5.1,:,"27,000","15,917","79,100","7,954","38,584",:,"113,000",:,"195,700","10,727","24,657",:,"201,000","12,799","22,986","32,863","47,998","17,306","42,999","11,117","26,125",:,80,:,"8,000","55,583","118,514",:,"400,822",:,"194,500","28,505","60,014","7,172","24,415","7,963","40,516","18,843","31,433","23,649","41,102","21,335","39,071","44,014","66,224","25,171","34,791","34,381","55,784","24,255","49,536","48,705","98,522","44,984","80,172",:,"386,199",:,:,:,"2,788","21,582","32,799","24,450","48,987",:,"787,020",:,17,"31,055","49,210",:,2.4,:,"784,461",:,"34,665",:,"332,522",:,"37,050",:,"25,905",:,"26,200",:,"62,965",:,:,:,"231,158.07",:,"147,670.00",:,:,648,"1,161"
Leeds/Dortmund,Leeds,Dortmund,Germany,DE010C1,UK003C1,0.119,0.33,:,12.588,29.8,40.4,0.1,0.5,154.5,142.7,10.9,7.1,14.3,15.1,63.1,66.2,83,90.9,:,"296,460",10.5,7.9,:,49.3,15,12.5,13.3,10.2,4.3,5.5,4.4,3.8,:,376.7,33.3,25.8,103.6,103.8,7,26,"280,011","386,500",:,8.793,9.5,8.4,"50,075","58,400",12.2,12.4,17,8.8,:,35.4,20,18,:,457,:,"3,581",:,"6,920",:,:,:,"3,339",:,704,6.5,10.1,"99,482","69,350",:,"9,907","283,293","412,400",4.8,6.5,:,3.836,"128,287","197,900","155,006","214,500","121,239","180,000",4.3,6.3,"137,100","98,556","37,300","39,944","58,400","41,723",4.9,6.1,"449,500","685,905",:,38,"5,939","6,100","487,118","715,111","62,200","29,406",76.6,87.2,"16,992","13,400","245,226","79,330",:,328,"316,955","347,100","11,053","7,300","263,787","375,700",:,"179,700","84,719","115,200",:,317.29,10.6,3.7,"295,435","477,514","25,161","49,823","71,729","245,690",49.3,59.8,:,45.6,7.1,3.4,23.4,12.5,"13,051","18,000","40,538","58,501","12,340","20,946",6,3.2,0.1,0.3,4.6,3.1,"31,150","37,572","78,700","56,833","13,043","22,054","15,174","23,480","16,096","19,800","27,924","50,782","12,745","25,470",55.8,64.1,"69,530","109,900","11,602","27,000","28,597","47,894","71,436","97,208","12,416","24,353",:,"28,390",62.5,68.6,"126,888","185,500",436,"1,250",6.4,5.1,"11,754","27,000","38,225","79,100","19,895","38,584","53,374","113,000","142,548","195,700","13,779","24,657","153,124","201,000","25,102","22,986","35,635","47,998","25,383","42,999","14,145","26,125",90,80,"3,723","8,000","83,946","118,514","298,524","400,822",:,"194,500","43,408","60,014","13,423","24,415","18,330","40,516","25,955","31,433","39,724","41,102","38,179","39,071","55,937","66,224","29,982","34,791","63,893","55,784","43,400","49,536","88,195","98,522","77,903","80,172","288,076","386,199",:,:,"10,634","2,788","38,791","32,799","44,795","48,987","586,600","787,020",:,17,"35,801","49,210",1.8,2.4,"578,600","784,461",:,"34,665","312,835","332,522",:,"37,050",:,"25,905",:,"26,200","52,647","62,965",:,:,:,"231,158.07",:,"147,670.00","22,155",:,:,"1,161"
Leeds/Lille,Leeds,Lille,France,FR009C1,UK003C1,:,0.33,:,12.588,:,40.4,:,0.5,:,142.7,:,7.1,:,15.1,:,66.2,:,90.9,:,"296,460",:,7.9,:,49.3,:,12.5,:,10.2,:,5.5,:,3.8,:,376.7,:,25.8,:,103.8,:,26,:,"386,500",:,8.793,:,8.4,:,"58,400",:,12.4,:,8.8,:,35.4,22,18,:,457,:,"3,581",:,"6,920",:,:,:,"3,339",:,704,:,10.1,:,"69,350",:,"9,907",:,"412,400",:,6.5,:,3.836,:,"197,900",:,"214,500",:,"180,000",:,6.3,:,"98,556",:,"39,944",:,"41,723",:,6.1,:,"685,905",:,38,:,"6,100",:,"715,111",:,"29,406",:,87.2,:,"13,400",:,"79,330",:,328,:,"347,100",:,"7,300",:,"375,700",:,"179,700",:,"115,200",:,317.29,:,3.7,:,"477,514",:,"49,823",:,"245,690",:,59.8,:,45.6,:,3.4,:,12.5,:,"18,000",:,"58,501",:,"20,946",:,3.2,:,0.3,:,3.1,:,"37,572",:,"56,833",:,"22,054",:,"23,480",:,"19,800",:,"50,782",:,"25,470",:,64.1,:,"109,900",:,"27,000",:,"47,894",:,"97,208",:,"24,353",:,"28,390",:,68.6,:,"185,500",:,"1,250",:,5.1,:,"27,000",:,"79,100",:,"38,584",:,"113,000",:,"195,700",:,"24,657",:,"201,000",:,"22,986",:,"47,998",:,"42,999",:,"26,125",:,80,:,"8,000",:,"118,514",:,"400,822",:,"194,500",:,"60,014",:,"24,415",:,"40,516",:,"31,433",:,"41,102",:,"39,071",:,"66,224",:,"34,791",:,"55,784",:,"49,536",:,"98,522",:,"80,172",:,"386,199",:,:,:,"2,788",:,"32,799",:,"48,987",:,"787,020",:,17,:,"49,210",:,2.4,:,"784,461",:,"34,665",:,"332,522",:,"37,050",:,"25,905",:,"26,200",:,"62,965",:,:,:,"231,158.07",:,"147,670.00",:,:,:,"1,161"
Leeds/Siegen,Leeds,Siegen,Germany,DE540C1,UK003C1,:,0.33,:,12.588,29,40.4,0.5,0.5,151.5,142.7,10.9,7.1,14.6,15.1,62.2,66.2,86.9,90.9,:,"296,460",15,7.9,:,49.3,14.1,12.5,13.5,10.2,4.1,5.5,4.4,3.8,:,376.7,33.1,25.8,104.4,103.8,:,26,"51,118","386,500",:,8.793,9.6,8.4,"9,810","58,400",10.9,12.4,13.1,8.8,:,35.4,5,18,:,457,:,"3,581",:,"6,920",:,:,:,"3,339",:,704,8.5,10.1,"13,355","69,350",:,"9,907","52,770","412,400",4.6,6.5,:,3.836,"23,675","197,900","29,095","214,500","22,380","180,000",4.2,6.3,:,"98,556","4,300","39,944",:,"41,723",5,6.1,:,"685,905",:,38,691,"6,100","88,982","715,111","9,100","29,406",:,87.2,"1,952","13,400","29,168","79,330",:,328,"54,478","347,100","1,261","7,300","49,337","375,700",:,"179,700","20,023","115,200",:,317.29,8.9,3.7,"64,188","477,514","4,276","49,823","25,310","245,690",51.7,59.8,:,45.6,4.3,3.4,:,12.5,"2,800","18,000","7,188","58,501","2,037","20,946",3.7,3.2,0.1,0.3,2.9,3.1,"9,646","37,572",:,"56,833","2,148","22,054","2,557","23,480","2,689","19,800","4,758","50,782","2,187","25,470",59.2,64.1,"14,188","109,900","1,637","27,000","5,093","47,894","11,177","97,208","2,089","24,353",:,"28,390",67.2,68.6,"23,001","185,500",51,"1,250",4.2,5.1,"1,559","27,000","8,679","79,100","4,164","38,584","11,184","113,000","26,956","195,700","2,302","24,657","28,117","201,000","4,422","22,986","5,557","47,998","4,185","42,999","2,456","26,125",197,80,411,"8,000","14,986","118,514","52,263","400,822",:,"194,500","7,798","60,014","2,536","24,415","4,515","40,516","4,601","31,433","7,006","41,102","6,802","39,071","9,793","66,224","5,192","34,791","11,120","55,784","7,080","49,536","14,462","98,522","13,808","80,172","50,074","386,199",:,:,:,"2,788","6,698","32,799","7,382","48,987","102,337","787,020",:,17,"5,620","49,210",1.9,2.4,"102,700","784,461",:,"34,665","54,811","332,522",:,"37,050",:,"25,905",:,"26,200","20,171","62,965",:,:,:,"231,158.07",:,"147,670.00","1,955",:,:,"1,161"
Leicester/Krefeld,Leicester,Krefeld,Germany,DE508C1,UK014C1,0.176,0.198,:,13.011,31,44.7,0,0.8,150.5,148.2,11.8,5.3,12.3,16.6,67.8,64.1,84.5,75.4,:,"114,291",22,:,:,46.7,15.9,11.1,14.1,9.6,4.5,6.2,4.1,2.7,:,322.5,36.8,19.4,105.2,99.8,4,7,"107,429","158,900",:,7.142,10.2,6.5,"21,320","21,500",11.5,12.5,15.5,24.2,:,31.6,:,9,:,203,:,"1,249",:,"2,531",:,19,:,"1,282",:,339,5.8,11.2,"35,245","85,677",:,"4,611","109,912","168,000",4.6,7.1,:,5.422,"50,432","71,400","59,480","96,600","47,009","65,100",4.4,7,"54,900","137,100","16,900","48,477","23,300","35,178",5,6.9,"171,800","215,853",:,25,"2,349","4,000","191,454","267,276","18,400","37,200",75.8,60.9,"6,583","8,800","82,221","35,580",:,169,"120,298","135,680","4,234","4,800","101,080","151,700",:,"59,700","27,642","59,700",:,139.39,8.1,10.5,"112,717","166,770","9,939","24,722","38,077","93,680",49.7,50.4,:,33.8,7.1,5,24.2,38.7,"4,615","4,500","13,565","28,949","4,931","10,711",6,5.2,0.8,0,4.7,5.6,"24,752",:,"31,600","101,922","5,372","11,180","5,899","12,563","6,309","9,100","10,335","25,312","5,223","12,472",56,59.5,"27,048","37,600","2,260","4,500","11,286","24,566","26,037","44,192","4,716","12,250",:,"12,400",62.9,68.6,"49,253","68,500",953,25,7.5,13.7,"1,795","5,000","13,092","39,519","6,811","20,151","15,939","22,900","54,071","86,600","5,074","12,345","58,175","90,300","10,668","7,567","12,833","22,730","10,303","21,890","5,261","12,967",26,122,"1,403","2,000","27,801","58,869","116,232","177,003",:,"82,400","14,236","29,920","5,387","12,003","6,281","19,368","10,423","11,329","16,384","17,096","15,649","17,019","23,039","23,135","12,616","11,807","26,724","18,785","18,018","19,797","36,110","39,278","32,033","34,114","110,467","177,376",:,:,:,"1,374","16,056","11,218","18,092","19,481","226,699","354,379",:,9,"13,204","21,462",1.9,2.8,"224,700","353,476",:,"14,490","119,589","125,338",:,"23,450",:,"19,655",:,"38,600","5,923","43,105",:,:,:,"210,031.90",:,"144,087.00","5,753",:,:,542
Leicester/Strasbourg,Leicester,Strasbourg,France,FR006C2,UK014C1,:,0.198,:,13.011,:,44.7,:,0.8,:,148.2,:,5.3,:,16.6,:,64.1,:,75.4,:,"114,291",:,:,:,46.7,:,11.1,:,9.6,:,6.2,:,2.7,:,322.5,:,19.4,:,99.8,:,7,:,"158,900",:,7.142,:,6.5,:,"21,500",:,12.5,:,24.2,:,31.6,11,9,:,203,:,"1,249",:,"2,531",:,19,:,"1,282",:,339,:,11.2,:,"85,677",:,"4,611",:,"168,000",:,7.1,:,5.422,:,"71,400",:,"96,600",:,"65,100",:,7,:,"137,100",:,"48,477",:,"35,178",:,6.9,:,"215,853",:,25,:,"4,000",:,"267,276",:,"37,200",:,60.9,:,"8,800",:,"35,580",:,169,:,"135,680",:,"4,800",:,"151,700",:,"59,700",:,"59,700",:,139.39,:,10.5,:,"166,770",:,"24,722",:,"93,680",:,50.4,:,33.8,:,5,:,38.7,:,"4,500",:,"28,949",:,"10,711",:,5.2,:,0,:,5.6,:,:,:,"101,922",:,"11,180",:,"12,563",:,"9,100",:,"25,312",:,"12,472",:,59.5,:,"37,600",:,"4,500",:,"24,566",:,"44,192",:,"12,250",:,"12,400",:,68.6,:,"68,500",:,25,:,13.7,:,"5,000",:,"39,519",:,"20,151",:,"22,900",:,"86,600",:,"12,345",:,"90,300",:,"7,567",:,"22,730",:,"21,890",:,"12,967",:,122,:,"2,000",:,"58,869",:,"177,003",:,"82,400",:,"29,920",:,"12,003",:,"19,368",:,"11,329",:,"17,096",:,"17,019",:,"23,135",:,"11,807",:,"18,785",:,"19,797",:,"39,278",:,"34,114",:,"177,376",:,:,:,"1,374",:,"11,218",:,"19,481",:,"354,379",:,9,:,"21,462",:,2.8,:,"353,476",:,"14,490",:,"125,338",:,"23,450",:,"19,655",:,"38,600",:,"43,105",:,:,:,"210,031.90",:,"144,087.00",:,:,:,542
Liverpool/Cologne (Köln),Liverpool,Cologne (Köln),Germany,DE004C1,UK006C1,0.287,0.122,:,11.888,27.9,35.8,0.4,0.7,139.9,139.9,9.1,6.6,16.9,17.2,54.8,59.1,80.8,90.6,:,"136,282",9.4,:,:,44.9,15.1,12,11.6,11,4.2,4.8,2.9,2.8,:,276.3,27,23.3,105,100.7,31,6,"536,223","225,600",:,9.331,8.3,8,"81,854","34,400",14.3,12,19.2,8.4,:,34.7,13,10,:,408,:,"2,277",:,"4,602",:,:,:,"2,325",:,539,6.6,10.6,"207,967","41,575",:,"5,863","540,283","242,300",5,6,:,4.776,"257,952","113,300","282,332","129,000","247,190","102,800",4.4,5.5,"273,400","55,999","73,900","13,264","96,600","14,948",4.4,6.2,"807,000","432,578",:,28,"8,957","4,300","872,427","447,002","134,100","28,311",74.7,87.7,"24,478","9,900","465,920","59,530",:,289,"561,661","226,750","15,521","5,500","512,418","217,900",:,"112,700","165,186","88,400",:,175.52,12.4,5.7,"680,375","254,351","47,533","27,340","95,741","159,520",53.5,54.4,:,43.8,5.5,4.3,25.3,11.4,"19,485","7,000","94,079","40,067","21,742","11,503",4.5,4.1,0.1,0,3.5,3.8,"63,815",:,"176,800","41,051","23,112","12,122","24,447","14,888","33,469","14,600","54,537","29,498","24,461","13,913",57.9,58.7,"149,484","73,000","38,195","8,000","47,668","30,553","154,214","59,325","23,072","13,427",:,"14,600",62.5,63.1,"255,826","106,100",495,40,6.8,2.7,"47,517","8,000","71,704","52,440","33,960","25,673","153,005","38,200","265,228","115,000","26,603","14,337","280,397","119,500","41,024","13,577","76,805","31,055","44,854","23,625","27,934","15,162",95,119,"9,723","5,000","183,121","84,873","553,429","247,472",:,"115,700","89,042","44,806","23,221","15,665","37,744","26,767","40,793","19,350","63,711","27,920","61,639","26,165","89,642","39,627","48,849","20,277","98,415","32,574","79,608","30,243","163,356","59,244","125,350","54,085","526,965","245,710",:,:,:,"3,703","57,391","18,998","83,748","29,002","1,080,394","493,182",:,8,"77,409","28,270",1.9,2.2,"1,057,200","488,577",:,"18,205","564,260","219,036",:,"32,760",:,"25,680",:,"28,600","102,934","58,450",:,:,:,"164,018.72",:,"121,571.00","38,623",:,:,947
Middlesbrough/Oberhausen,Middlesbrough,Oberhausen,Germany,DE509C1,UK559C1,0.142,0.213,:,13.287,29.5,44.3,0,0.1,155.1,138.8,11.4,7.3,12.6,14.4,65.3,72.1,85.4,91.4,:,"51,547",13,5.8,:,49.1,15.6,12.4,14.9,12,4.3,6,8.3,5,:,366.6,35.8,27.7,103.6,102.4,3,3,"98,287","58,300",:,10.342,10.2,8.8,"20,502","8,900",11.8,11,14.6,7.8,:,36.2,:,2,:,121,:,708,:,"1,454",:,:,:,746,:,190,5.5,8.4,"30,808","10,974",:,"1,868","99,721","62,300",4.5,6.9,:,2.677,"45,249","28,800","54,472","33,500","42,554","24,800",4.2,6.8,"41,000","14,675","22,600","3,629",:,"3,542",4.8,6,"170,400","124,821",:,5,"2,204","2,200","180,614","128,522","8,200","7,345",80.6,88.8,"6,080","5,400","80,390","8,920",:,101,"110,609","62,720","3,876","3,200","92,523","53,700",:,"21,400","20,774","26,800",:,69.09,3.9,5.2,"86,187","60,137","8,899","9,515","30,219","48,670",48.1,50,:,30.6,7.1,9.6,19.4,10.4,"7,120","3,000","12,938","9,817","4,519","4,191",6.1,8.7,0.1,0.1,4.9,7.6,"11,169","3,479",:,"11,133","4,589","4,283","5,266","4,364","5,567","2,100","9,574","9,739","4,574","4,813",54.2,55.2,"20,522","13,400","1,146","1,250","10,131","8,496","25,008","15,415","4,325","4,702",:,"3,190",60.7,60.6,"44,637","26,600",65,50,10.7,2.6,"1,436","1,500","11,724","11,833","6,233","6,345","17,466","7,400","49,970","29,000","4,638","4,703","53,650","31,800","9,464","4,326","12,711","7,486","9,108","8,474","4,936","5,036",:,131,922,"1,500","26,705","20,184","107,571","71,139",:,"34,300","13,767","10,367","4,865","4,132","5,491","5,489","10,236","5,963","16,158","8,734","15,408","8,095","21,666","12,334","11,430","6,372","24,146","10,332","16,228","9,066","32,895","17,443","31,566","16,829","103,851","69,454",:,:,:,"1,016","14,682","6,006","16,667","8,377","211,422","140,592",:,5,"12,297","7,929",:,2.4,"209,200","139,496",:,"4,200",:,"57,362",:,"10,110",:,"8,255",:,"12,400",:,"18,375",:,:,:,"137,445.08",:,"77,540.00",:,:,:,311
Newcastle upon Tyne/Gelsenkirchen,Newcastle upon Tyne,Gelsenkirchen,Germany,DE503C1,UK013C1,0.038,0.336,:,10.754,32.7,37.5,-0.8,1.1,164.3,140.5,10.8,6.7,12.9,16.6,67.2,60.7,80.9,90.6,:,"87,888",11.6,:,:,43.2,15.1,11.2,14.2,10.2,4.7,5,6.3,2.7,:,294.9,34.5,23.2,100.9,97.9,1,10,"113,326","138,400",:,8.533,9.8,7.7,"21,593","19,500",11.8,10.9,19.1,8,:,32.4,5,6,:,148,:,"1,268",:,"2,543",:,18,:,"1,275",:,309,5.9,13.3,"49,792","23,823",:,"3,205","115,410","147,300",4.9,5.6,:,2.184,"50,503","67,900","64,907","79,400","46,607","62,400",4.7,5.8,"52,100","39,086","16,400","9,464","17,000","9,436",5.2,6.9,"208,200","254,514",:,7,"3,241","2,600","210,513","269,982","33,400","14,359",80,85.4,"9,127","6,800","115,031","50,150",:,135,"139,189","129,780","5,886","4,200","104,643","133,000",:,"68,900","32,202","70,700",:,139.7,12.8,4.8,"105,326","185,548","12,147","17,350","24,158","74,310",44.7,54.9,:,47.2,9.1,5.3,20,13.1,"6,673","5,000","15,843","22,829","5,800","7,271",7.9,4.6,0.1,0.1,6.4,3.8,"12,174",:,"35,100","29,650","6,528","7,702","7,254","10,391","6,856","10,100","12,818","16,732","6,314","8,935",51.8,59.2,"22,707","44,600","1,728","6,000","13,662","20,530","30,722","32,612","5,833","8,415",:,"7,955",59,63.3,"49,686","64,100",115,100,6.3,3.2,"1,671","9,000","15,285","39,551","8,154","20,260","19,530","27,800","58,036","70,600","6,208","8,161","63,640","74,300","10,668","8,282","15,763","16,470","12,328","14,973","6,610","8,571",24,178,"1,670","4,000","33,450","49,422","130,757","147,431",:,"63,000","17,607","26,594","6,408","10,139","7,131","19,291","12,144","11,399","18,574","15,312","18,277","15,217","25,466","23,062","13,322","11,663","28,191","19,916","19,156","16,576","39,385","33,344","36,851","30,529","129,548","150,588",:,:,:,"1,792","17,523","11,634","20,229","16,769","260,305","298,019",:,1,"14,959","16,142",:,2.4,:,"293,818",:,"10,820","138,535","122,114",:,"28,340",:,"24,755",:,"16,500","6,301","53,115",:,:,:,"215,112.62",:,"129,363.00","12,290",:,:,457
